course_id,subject,catalog_number,title,description,credits_min,credits_max,gened_attributes,career,campus,term,component,class_number,instructor_name,meeting_days,meeting_start,meeting_end,location,prereq_text,coreq_text,notes
MSCH-P351,MSCH,P351,,,,,,Undergraduate,IUB,,,,,,,,,,,
MSCH-P353,MSCH,P353,,,,,,Undergraduate,IUB,,,,,,,,,,,
MSCH-P354,MSCH,P354,,,,,,Undergraduate,IUB,,,,,,,,,,,
MSCH-P356,MSCH,P356,,,,,,Undergraduate,IUB,,,,,,,,,,,
MSCH-P369,MSCH,P369,,,,,,Undergraduate,IUB,,,,,,,,,,,
MSCH-P433,MSCH,P433,,,,,,Undergraduate,IUB,,,,,,,,,,,
MSCH-P434,MSCH,P434,,,,,,Undergraduate,IUB,,,,,,,,,,,
MSCH-P452,MSCH,P452,,,,,,Undergraduate,IUB,,,,,,,,,,,
MSCH-P454,MSCH,P454,,,,,,Undergraduate,IUB,,,,,,,,,,,
MSCH-T427,MSCH,T427,,,,,,Undergraduate,IUB,,,,,,,,,,,
SOAD-S310,SOAD,S310,,,,,,Undergraduate,IUB,,,,,,,,,,,
SOC-S339,SOC,S339,,,,,,Undergraduate,IUB,,,,,,,,,,,
SOC-S377,SOC,S377,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-V369,SPEA,V369,,,,,,Undergraduate,IUB,,,,,,,,,,,
US-S305,US,S305,,,,,,Undergraduate,IUB,,,,,,,,,,,
INFO-I492,INFO,I492,,,,,,Undergraduate,IUB,,,,,,,,,,,
INFO-I498,INFO,I498,,,,,,Undergraduate,IUB,,,,,,,,,,,
